,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
273,70.37507247924805,1.2052025750041395,0.1668874422709147,0.01943035119391246,0.3,0.0078125,0.0625,4501,1,2,0.25,"{'classifier__subsample': 0.3, 'classifier__reg_lambda': 0.0078125, 'classifier__reg_alpha': 0.0625, 'classifier__n_estimators': 4501, 'classifier__min_child_weight': 1, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.25}",0.9988841490708052,0.9740504901154092,0.9460603174659898,0.9729983188840681,0.021578069029742835,128
274,115.26709302266438,4.091585889361975,0.3434149424235026,0.05295748532604416,0.2,512,4,2501,4,8,0.0009765625,"{'classifier__subsample': 0.2, 'classifier__reg_lambda': 512, 'classifier__reg_alpha': 4, 'classifier__n_estimators': 2501, 'classifier__min_child_weight': 4, 'classifier__max_depth': 8, 'classifier__learning_rate': 0.0009765625}",0.9941827495614294,0.966389322811299,0.9146482225214323,0.9584067649647201,0.03295680172791335,404
275,15.000088771184286,0.845086086667004,0.06515932083129883,0.01477803798358143,0.6,128,16,251,8,11,0.001953125,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 128, 'classifier__reg_alpha': 16, 'classifier__n_estimators': 251, 'classifier__min_child_weight': 8, 'classifier__max_depth': 11, 'classifier__learning_rate': 0.001953125}",0.9975935432470409,0.9670097217239364,0.914832914880652,0.9598120599505431,0.034168066506149744,391
276,34.128094832102455,0.5747787158701152,0.10604969660441081,0.001880817226712158,1.0,256,0.0009765625,2751,32,2,0.25,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 256, 'classifier__reg_alpha': 0.0009765625, 'classifier__n_estimators': 2751, 'classifier__min_child_weight': 32, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.25}",0.9973959650740255,0.9748032590399465,0.9471172009794618,0.9731054750311446,0.020561296694268476,114
277,22.1311137676239,0.38270313211909335,0.09574413299560547,0.010006783985183678,0.7,8,0.125,751,128,5,0.00390625,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 8, 'classifier__reg_alpha': 0.125, 'classifier__n_estimators': 751, 'classifier__min_child_weight': 128, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.00390625}",0.9940094139115166,0.9662049524027345,0.9254746074486514,0.9618963245876341,0.02814460433146871,380
278,10.626001040140787,0.34415271753365984,0.05319094657897949,0.0018802552082873177,0.7,0.03125,0.0625,501,2,3,0.125,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0.03125, 'classifier__reg_alpha': 0.0625, 'classifier__n_estimators': 501, 'classifier__min_child_weight': 2, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.125}",0.9989526135403773,0.9755629928303253,0.9491960524578456,0.9745705529428493,0.020325149370301793,11
279,26.15885106722514,0.7974782837866572,0.06017223993937174,0.0028601757048979156,0.7,16,256,2001,16,2,0.03125,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 16, 'classifier__reg_alpha': 256, 'classifier__n_estimators': 2001, 'classifier__min_child_weight': 16, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.03125}",0.9937389257332075,0.9621630470478887,0.9194339090116902,0.9584452939309288,0.03044859212591218,403
280,21.729612191518147,0.8332265747920609,0.04753915468851725,0.0012440489297626139,0.3,0.25,1024,2001,128,3,0.125,"{'classifier__subsample': 0.3, 'classifier__reg_lambda': 0.25, 'classifier__reg_alpha': 1024, 'classifier__n_estimators': 2001, 'classifier__min_child_weight': 128, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.125}",0.7413669252356939,0.9385476820966725,0.8574950512294053,0.8458032195205906,0.0809221309473806,492
281,114.0597501595815,8.731971850919367,0.34165120124816895,0.013674081425877605,0.1,256,32,3251,2,13,0.015625,"{'classifier__subsample': 0.1, 'classifier__reg_lambda': 256, 'classifier__reg_alpha': 32, 'classifier__n_estimators': 3251, 'classifier__min_child_weight': 2, 'classifier__max_depth': 13, 'classifier__learning_rate': 0.015625}",0.9967753124833326,0.969869037931974,0.9290937137884323,0.9652460214012463,0.027823598040235785,341
282,35.31175406773885,2.8275047173480923,0.08942763010660808,0.011409973574969801,0.2,0.0009765625,1024,3001,64,9,0.0078125,"{'classifier__subsample': 0.2, 'classifier__reg_lambda': 0.0009765625, 'classifier__reg_alpha': 1024, 'classifier__n_estimators': 3001, 'classifier__min_child_weight': 64, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.0078125}",0.7419723175927206,0.9414414872686518,0.8745725588589248,0.852662121240099,0.08289365826281163,484
